Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
Current Residence FIPS State Code,Current Residence FIPS Municipio/ County Code,Residence 1 Year Ago FIPS State Code,Residence 1 Year Ago FIPS Municipio Code,State of Current Residence,Muncipio/County of Current Residence,Municipio/County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,Municipio of Residence 1 Year Ago,Municipio of Residence 1 Year Ago3,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within Puerto Rico or United States1,,Movers within Same Municipio/County,,"Movers from Different Municipio or County, Same State",,Movers from Different State,,Movers from Elsewhere2,,,,Population 1 Year and Over,,Nonmovers,,Movers within Puerto Rico,,Movers within Same Municipio,,Movers to Different Municipio,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
001,003,072,000,Alabama,Baldwin County,169921,304,140749,1964,28471,1933,15329,1609,4049,763,9093,1385,701,350,Puerto Rico,-,,,,,,,,,,,23,32
001,021,072,000,Alabama,Chilton County,41668,150,36431,915,5162,890,3473,671,1304,455,385,163,75,49,Puerto Rico,-,,,,,,,,,,,3,6
001,039,072,000,Alabama,Covington County,36388,112,32042,643,4310,620,2674,509,759,327,877,299,36,33,Puerto Rico,-,,,,,,,,,,,14,21
001,043,072,000,Alabama,Cullman County,79826,185,67362,1490,12280,1511,7530,1082,2870,710,1880,571,184,154,Puerto Rico,-,,,,,,,,,,,3,6
001,045,072,000,Alabama,Dale County,47428,144,35912,1131,10683,1122,4092,687,2146,438,4445,1149,833,329,Puerto Rico,-,,,,,,,,,,,53,84
001,049,072,000,Alabama,DeKalb County,67227,240,58687,1381,8179,1281,5531,1027,1517,595,1131,303,361,231,Puerto Rico,-,,,,,,,,,,,128,193
001,065,072,000,Alabama,Hale County,17885,62,16075,397,1799,383,813,269,750,308,236,154,11,15,Puerto Rico,-,,,,,,,,,,,1,119
001,073,072,000,Alabama,Jefferson County,653276,514,539550,4404,112028,4328,81942,3698,16058,1418,14028,1246,1698,410,Puerto Rico,-,,,,,,,,,,,3,6
001,081,072,000,Alabama,Lee County,129074,223,96666,1557,31247,1657,15797,1177,8554,942,6896,675,1161,352,Puerto Rico,-,,,,,,,,,,,8,10
001,089,072,000,Alabama,Madison County,310170,389,252912,2287,55022,2310,33567,2211,7285,782,14170,1705,2236,593,Puerto Rico,-,,,,,,,,,,,13,17
001,095,072,000,Alabama,Marshall County,86159,317,72759,1270,12722,1121,8119,1015,2615,511,1988,574,678,436,Puerto Rico,-,,,,,,,,,,,100,123
001,097,072,000,Alabama,Mobile County,399807,551,341967,2754,56145,2636,42234,2491,4615,781,9296,1058,1695,472,Puerto Rico,-,,,,,,,,,,,76,99
001,101,072,000,Alabama,Montgomery County,220982,398,177299,2091,42491,2097,27272,1895,7494,952,7725,943,1192,383,Puerto Rico,-,,,,,,,,,,,10,17
001,121,072,000,Alabama,Talladega County,79138,269,67586,1212,11396,1170,6443,970,3216,648,1737,493,156,91,Puerto Rico,-,,,,,,,,,,,18,29
001,125,072,000,Alabama,Tuscaloosa County,176666,334,139762,2097,35550,2033,20417,1731,9799,1138,5334,918,1354,490,Puerto Rico,-,,,,,,,,,,,49,68
002,020,072,000,Alaska,Anchorage Municipality,275651,482,210426,2824,62055,2724,40186,2078,6133,841,15736,1481,3170,642,Puerto Rico,-,,,,,,,,,,,97,111
002,090,072,000,Alaska,Fairbanks North Star Borough,95280,248,70967,1673,22900,1644,12946,1470,2673,644,7281,1056,1413,431,Puerto Rico,-,,,,,,,,,,,36,61
004,003,072,000,Arizona,Cochise County,125767,313,99519,1766,24633,1589,11517,1459,4378,1048,8738,856,1615,512,Puerto Rico,-,,,,,,,,,,,45,74
004,009,072,000,Arizona,Graham County,34252,121,28322,677,5720,648,2597,536,2268,419,855,281,210,97,Puerto Rico,-,,,,,,,,,,,10,17
004,013,072,000,Arizona,Maricopa County,3790712,1932,2993298,11083,762397,10588,569170,9886,38081,2432,155146,4477,35017,2618,Puerto Rico,-,,,,,,,,,,,246,216
005,007,072,000,Arkansas,Benton County,207148,346,165945,2329,40530,2288,22460,2021,5725,975,12345,1594,673,205,Puerto Rico,-,,,,,,,,,,,18,28
005,031,072,000,Arkansas,Craighead County,89987,233,71123,1655,18611,1637,11619,1267,4368,728,2624,604,253,106,Puerto Rico,-,,,,,,,,,,,14,22
005,045,072,000,Arkansas,Faulkner County,103308,217,79508,1356,23174,1388,12112,1173,7521,991,3541,592,626,210,Puerto Rico,-,,,,,,,,,,,36,82
005,115,072,000,Arkansas,Pope County,58040,213,46821,990,11040,975,6486,907,3182,556,1372,367,179,126,Puerto Rico,-,,,,,,,,,,,12,17
005,131,072,000,Arkansas,Sebastian County,119444,288,96234,1773,22833,1717,15412,1603,3381,620,4040,646,377,163,Puerto Rico,-,,,,,,,,,,,27,44
005,143,072,000,Arkansas,Washington County,189893,457,140596,2327,48024,2261,29535,1947,9048,917,9441,1345,1273,458,Puerto Rico,-,,,,,,,,,,,67,74
005,145,072,000,Arkansas,White County,72779,180,56659,1306,15780,1309,9002,1106,3628,728,3150,543,340,165,Puerto Rico,-,,,,,,,,,,,47,78
006,001,072,000,California,Alameda County,1437189,859,1197957,6781,223897,6621,143538,5809,58630,2734,21729,1603,15335,1413,Puerto Rico,-,,,,,,,,,,,60,93
006,013,072,000,California,Contra Costa County,1002968,742,852992,5650,142675,5620,94954,5006,37042,2214,10679,1144,7301,979,Puerto Rico,-,,,,,,,,,,,47,49
006,019,072,000,California,Fresno County,874912,954,727561,5635,142484,5535,113150,4941,22226,2152,7108,991,4867,895,Puerto Rico,-,,,,,,,,,,,28,34
006,023,072,000,California,Humboldt County,127421,258,103284,1611,23627,1491,15167,1256,5744,695,2716,552,510,192,Puerto Rico,-,,,,,,,,,,,21,33
006,025,072,000,California,Imperial County,157392,395,132867,2194,22034,1991,14155,1624,6089,819,1790,531,2491,658,Puerto Rico,-,,,,,,,,,,,39,63
006,037,072,000,California,Los Angeles County,9639633,2416,8385192,16130,1179519,15903,966637,14727,116102,4179,96780,3804,74922,2875,Puerto Rico,-,,,,,,,,,,,488,277
006,041,072,000,California,Marin County,244069,343,207351,2047,35013,2005,17043,1407,14279,1511,3691,645,1705,417,Puerto Rico,-,,,,,,,,,,,38,46
006,053,072,000,California,Monterey County,397750,623,326404,2670,67220,2615,44314,2598,13986,1292,8920,922,4126,590,Puerto Rico,-,,,,,,,,,,,35,61
006,059,072,000,California,Orange County,2935606,1288,2486770,8666,424000,8867,308826,7707,80348,3392,34826,2360,24836,1924,Puerto Rico,-,,,,,,,,,,,13,20
006,061,072,000,California,Placer County,328407,424,275870,2662,50835,2643,26927,1962,18988,1642,4920,881,1702,361,Puerto Rico,-,,,,,,,,,,,51,76
006,065,072,000,California,Riverside County,2005811,1137,1644224,7910,348946,7731,217463,5782,106373,4612,25110,1945,12641,1306,Puerto Rico,-,,,,,,,,,,,87,93
006,067,072,000,California,Sacramento County,1356263,919,1076592,6391,270778,6312,196753,5776,55765,2452,18260,1987,8893,1121,Puerto Rico,-,,,,,,,,,,,7,11
006,071,072,000,California,San Bernardino County,1956573,1270,1611008,8626,333997,8132,215908,6913,91509,3894,26580,2201,11568,1095,Puerto Rico,-,,,,,,,,,,,97,105
006,073,072,000,California,San Diego County,2942250,1336,2402432,8152,505688,7975,363883,7418,64096,3642,77709,3350,34130,2164,Puerto Rico,-,,,,,,,,,,,54,53
006,075,072,000,California,San Francisco County,788129,628,664364,3472,114091,3430,67205,2697,30529,1791,16357,1337,9674,1002,Puerto Rico,-,,,,,,,,,,,6,10
006,077,072,000,California,San Joaquin County,653047,719,526549,4882,121474,4573,88051,4379,26426,2040,6997,1090,5024,1281,Puerto Rico,-,,,,,,,,,,,17,28
006,081,072,000,California,San Mateo County,692234,639,596578,3891,88344,3758,51741,2996,30445,2340,6158,821,7312,1073,Puerto Rico,-,,,,,,,,,,,9,14
006,083,072,000,California,Santa Barbara County,395879,550,307500,3537,84567,3470,57781,3075,18235,1227,8551,958,3812,530,Puerto Rico,-,,,,,,,,,,,58,85
006,095,072,000,California,Solano County,399971,507,329395,3398,68026,3456,43834,2975,18695,1906,5497,819,2550,443,Puerto Rico,-,,,,,,,,,,,30,47
006,097,072,000,California,Sonoma County,458705,539,386608,3004,70101,2909,51399,2802,12890,1208,5812,893,1996,372,Puerto Rico,-,,,,,,,,,,,31,36
006,099,072,000,California,Stanislaus County,497195,591,404580,4014,89894,3990,68597,3792,16718,1763,4579,787,2721,729,Puerto Rico,-,,,,,,,,,,,48,67
006,111,072,000,California,Ventura County,781459,684,675019,4258,101161,4238,67554,3292,23156,2070,10451,1138,5279,851,Puerto Rico,-,,,,,,,,,,,15,26
008,001,072,000,Colorado,Adams County,411985,541,334356,2980,74890,3001,37178,2285,27592,2102,10120,1220,2739,678,Puerto Rico,-,,,,,,,,,,,15,24
008,097,072,000,Colorado,Pitkin County,15024,133,12221,655,2476,583,1344,467,476,301,656,312,327,263,Puerto Rico,-,,,,,,,,,,,61,90
008,101,072,000,Colorado,Pueblo County,151910,257,125624,1687,25725,1718,16675,1435,5486,973,3564,640,561,220,Puerto Rico,-,,,,,,,,,,,15,24
008,113,072,000,Colorado,San Miguel County,7341,31,5595,279,1671,276,927,279,156,86,588,198,75,77,Puerto Rico,-,,,,,,,,,,,31,46
009,001,072,000,Connecticut,Fairfield County,881867,666,780202,3859,94179,3653,62344,3165,6825,786,25010,1721,7486,890,Puerto Rico,-,,,,,,,,,,,246,156
009,003,072,000,Connecticut,Hartford County,864349,580,753028,3572,106572,3309,74302,3142,14827,1252,17443,1430,4749,723,Puerto Rico,-,,,,,,,,,,,1228,470
009,005,072,000,Connecticut,Litchfield County,186754,236,169677,1175,16457,1157,9681,958,4451,723,2325,432,620,288,Puerto Rico,-,,,,,,,,,,,64,65
009,007,072,000,Connecticut,Middlesex County,162320,243,144607,1394,16971,1314,8234,927,4820,677,3917,606,742,375,Puerto Rico,-,,,,,,,,,,,282,300
009,009,072,000,Connecticut,New Haven County,833811,607,726541,4091,102059,3966,70187,3567,14305,1451,17567,1215,5211,814,Puerto Rico,-,,,,,,,,,,,952,441
009,011,072,000,Connecticut,New London County,263554,334,221445,2495,39908,2327,23524,1902,6234,692,10150,1193,2201,557,Puerto Rico,-,,,,,,,,,,,327,242
010,001,072,000,Delaware,Kent County,149545,258,126566,1713,22383,1711,13590,1418,2842,528,5951,860,596,207,Puerto Rico,-,,,,,,,,,,,99,80
010,003,072,000,Delaware,New Castle County,520902,540,436208,2947,81362,3110,53744,2543,3310,658,24308,2314,3332,645,Puerto Rico,-,,,,,,,,,,,227,136
010,005,072,000,Delaware,Sussex County,182811,268,161253,1719,20653,1634,11297,1290,1896,405,7460,855,905,509,Puerto Rico,-,,,,,,,,,,,13,16
011,001,072,000,District of Columbia,District of Columbia,580260,623,470630,3352,101930,3074,56228,2453,,,45702,1909,7700,769,Puerto Rico,-,,,,,,,,,,,168,92
012,001,072,000,Florida,Alachua County,236443,370,171862,2660,62986,2642,37291,2121,17892,1645,7803,1235,1595,440,Puerto Rico,-,,,,,,,,,,,40,44
012,009,072,000,Florida,Brevard County,527095,461,448165,3644,76721,3439,47486,2620,12992,1586,16243,1436,2209,522,Puerto Rico,-,,,,,,,,,,,268,244
012,011,072,000,Florida,Broward County,1736630,966,1444750,7248,272850,7243,184874,5862,50734,3079,37242,2273,19030,1825,Puerto Rico,-,,,,,,,,,,,1188,380
012,019,072,000,Florida,Clay County,177499,352,147428,2392,28877,2310,13633,1577,9878,1448,5366,748,1194,470,Puerto Rico,-,,,,,,,,,,,108,138
012,021,072,000,Florida,Collier County,309486,426,264246,2874,41747,2918,25967,2356,5886,892,9894,1065,3493,839,Puerto Rico,-,,,,,,,,,,,249,262
012,031,072,000,Florida,Duval County,834556,809,664346,4998,165606,4786,113622,4035,22275,1642,29709,2151,4604,871,Puerto Rico,-,,,,,,,,,,,401,334
